"ID","Sex","Marital.status","Age","Education","Income","Occupation","Settlement.size"
37472,0,0,25,0,92058,1,2
25920,1,0,39,1,125543,1,0
81383,1,1,27,1,110064,1,2
51367,1,0,24,1,104291,1,0
22122,0,0,75,2,213333,2,1
55257,1,1,23,1,166763,1,1
10124,0,1,27,1,96323,1,0
85763,1,1,59,2,184753,1,1
69456,0,0,27,0,236264,1,1
17039,1,0,33,1,103696,1,1
65628,1,1,32,1,94058,0,0
53401,0,0,53,1,124902,1,0
8268,0,1,33,1,144701,1,1
85489,0,0,60,2,129425,1,1
52800,1,1,49,2,110291,1,2
23083,1,1,28,1,123497,1,0
97054,1,0,48,2,118749,0,0
30104,1,1,20,1,127928,1,2
64984,0,0,37,1,111394,1,1
16111,1,1,27,1,100008,1,0
19169,0,0,57,2,87605,0,0
86293,1,1,24,1,127250,1,0
37612,1,1,23,1,129112,1,0
817,0,0,32,0,155012,1,1
27748,1,1,19,1,111187,0,0
92667,1,1,36,1,75536,0,0
53882,1,1,46,2,143489,1,1
72375,0,0,29,0,149249,1,2
14441,0,0,57,2,281647,2,1
74058,1,1,33,1,133561,1,1
10101,0,0,44,1,144900,1,1
81691,1,1,29,1,75161,0,0
46502,0,0,51,1,124183,0,0
21483,0,1,27,1,100392,1,0
85264,1,1,34,1,125843,0,0
61754,1,1,46,2,113399,0,0
92889,1,1,35,1,138387,2,1
86469,0,1,18,1,98992,1,1
94075,0,0,26,0,117221,1,1
23900,0,1,47,2,132145,1,1
29604,0,0,33,1,82414,0,0
81257,1,1,26,1,87400,0,0
53834,0,0,36,1,135302,1,2
61632,1,0,49,1,102463,0,0
79808,1,0,30,0,106696,1,0
12989,0,0,33,1,116261,1,2
46381,0,1,21,1,158683,1,1
74693,0,1,33,1,125535,1,2
58195,0,0,36,1,128702,1,2
9241,0,0,68,2,179151,1,2
8722,0,0,56,2,126906,1,1
83380,1,1,29,1,102250,1,0
70085,0,1,22,1,132796,1,0
67407,1,1,33,1,133542,1,0
77378,0,0,35,1,97290,1,0
71889,1,0,40,1,67619,0,0
73087,0,0,23,0,70783,0,0
48904,0,0,30,1,154003,0,1
46656,0,0,37,1,170146,2,0
76826,0,0,36,1,169617,2,1
89864,1,1,29,1,133783,2,1
3787,0,1,27,1,123213,1,2
16415,0,0,35,1,110181,0,2
40109,1,1,28,1,138952,1,1
7651,0,0,37,1,106978,1,2
33291,0,1,33,3,166712,1,2
97383,0,0,44,1,141493,1,2
27070,1,1,37,1,129027,0,0
33833,0,0,27,0,255198,2,2
48963,1,1,34,1,126334,1,0
40236,0,0,57,2,135830,1,1
68152,1,1,29,1,128234,1,2
10736,0,0,54,1,116604,1,1
98981,0,0,36,1,177171,2,2
38447,0,0,29,0,144884,2,2
81363,1,1,24,1,101157,1,1
49123,0,0,54,1,124725,1,0
72590,1,1,31,1,80189,0,0
70146,0,0,45,1,190803,2,2
21337,1,0,29,0,80852,0,0
10894,0,0,37,1,93740,0,0
51139,1,1,34,1,127255,1,0
83242,1,1,22,1,120233,1,0
15722,1,1,26,1,125880,1,0
77001,0,0,31,0,133574,2,1
32199,1,0,42,1,69114,0,0
63094,1,1,22,1,150773,1,2
51240,1,1,39,2,106461,1,0
25555,0,0,54,1,165230,1,2
75197,0,0,32,0,161379,1,2
62783,1,1,20,1,91177,0,0
40386,1,1,22,1,68165,0,0
52939,1,1,33,1,104276,1,2
25215,0,0,29,0,176292,2,1
45217,0,0,31,0,113757,1,0
77143,1,1,25,1,94905,1,0
16601,1,0,27,1,97192,1,0
2242,0,0,38,1,117405,1,1
73905,0,1,26,1,96716,1,2
98882,1,1,27,1,54041,0,0
78675,1,1,25,1,61907,0,0
33727,1,1,20,1,88141,0,0
56719,0,0,45,1,171565,1,1
86477,1,0,37,1,107539,1,1
57998,0,1,49,2,144461,1,2
78646,0,0,25,0,60868,0,0
17242,1,1,26,1,102543,1,1
88570,0,0,40,1,99723,0,0
12892,1,1,19,1,99119,1,0
79756,0,0,40,1,143723,2,1
51223,0,0,43,1,119351,1,2
90980,0,0,24,0,70400,0,0
67137,0,0,38,1,151312,2,1
56990,0,1,26,1,103667,1,2
50222,0,0,35,1,113468,0,0
91581,0,0,42,1,81606,0,0
48581,0,0,73,2,214732,2,1
50695,1,1,24,1,65707,0,0
68116,0,0,32,0,100426,1,2
57864,0,0,37,1,102733,1,1
13181,0,0,35,1,86492,0,0
96018,1,1,23,1,152267,2,1
82392,1,1,51,2,127825,1,0
68401,0,0,38,1,82398,1,1
48236,1,1,29,1,99012,1,0
81439,1,1,33,1,106741,0,0
84074,1,0,30,1,139468,1,1
32605,0,1,60,2,212020,2,0
15370,1,0,39,1,96614,0,0
58724,0,0,37,1,127676,1,1
